interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
3,2021-09-01,15:56:00,Female,26,Other,Rest of World,5,Male,23,Other,Rest of United States,Close friend,More than once a week,Female,23,Other,LA Area,Close friend,More than once a week,Male,26,Other,Rest of World,Close friend,More than once a week,Female,70,Other,Rest of World,Close friend,More than once a week,Male,64,Other,Rest of World,Close friend,More than once a week
3,2021-09-01,16:18:00,Female,21,Senior,Rest of World,5,Female,21,Senior,Rest of World,Friend,Once a week,Male,23,Other,Rest of World,Friend,Once a week,Female,22,Other,Rest of World,Friend,Once a week,Female,21,Senior,Rest of World,Friend,Once a week,Female,22,Other,Rest of World,Friend,Once a week
1,2021-08-21,09:03:00,Female,20,Junior,LA Area,5,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,23,Other,LA Area,Close friend,Once a week,Male,21,Other,LA Area,Friend,Once a week,Male,19,Junior,Bay Area,Close friend,More than once a week
2,2021-08-31,13:21:00,Male,20,Junior,Rest of World,5,Female,19,Junior,Bay Area,Friend,Once a week,Male,20,Junior,Bay Area,Friend,Once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Female,19,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of World,Friend,Once a week
3,2021-08-31,19:54:00,Female,21,Junior,LA Area,5,Female,21,Senior,LA Area,Friend,Once a week,Female,21,Senior,LA Area,Friend,Once a week,Male,20,Senior,Rest of California,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Senior,Bay Area,Close friend,More than once a week
1,2021-08-31,09:03:00,Female,19,Junior,LA Area,5,Female,20,Junior,LA Area,Close friend,Once a week,Female,20,Junior,LA Area,Close friend,Once a month,Female,20,Junior,Rest of California,Close friend,Once a year,Female,25,Other,LA Area,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,More than once a week
2,2021-09-01,23:58:00,Female,21,Senior,Bay Area,5,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Female,24,Other,Bay Area,Close friend,Once a week,Female,20,Senior,Rest of United States,Close friend,More than once a week
3,2021-09-02,00:06:00,Female,21,Senior,Bay Area,6+,Female,52,Other,Rest of World,Close friend,More than once a week,Female,26,Other,Bay Area,Close friend,Once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,21,Senior,Rest of World,Friend,Once a week,Female,21,Senior,Bay Area,Friend,Once a week
1,2021-08-31,09:02:00,Female,21,Senior,LA Area,5,Female,21,Senior,LA Area,Close friend,Once a week,Female,21,Senior,LA Area,Close friend,Once a month,Female,21,Senior,Rest of United States,Close friend,Once a month,Male,21,Senior,Rest of World,Friend,Once a year,Female,22,Other,Rest of California,Close friend,Once a year
2,2021-08-31,12:54:00,Male,20,Senior,Rest of World,5,Female,21,Senior,Rest of United States,Close friend,More than once a week,Female,61,Other,Rest of World,Close friend,Once a week,Male,79,Other,Rest of World,Close friend,Once a week,Female,20,Senior,Bay Area,Close friend,Once a week,Female,45,Other,LA Area,Friend,Once a month
